title,not discounted price,discount,price,developer,extraction date
Tropico 5 Complete Collection,39€,-90%,3.82€,Haemimont Games,2022-11-22 23:00:47.519805
Crazy Machines 3,10€,-90%,1.00€,Fakt Software,2022-11-22 23:00:49.127534
Sudden Strike 4,20€,-90%,1.90€,Kite Games,2022-11-22 23:00:50.919588
Darkest Dungeon,23€,-90%,2.22€,Red Hook Studios,2022-11-22 23:00:52.875941
Europa Universalis IV DLC Collection,40€,-90%,3.94€,Paradox Development StudioParadox Tinto,2022-11-22 23:00:54.523204
Bioshock: The Collection - Europe,60€,-90%,6.00€,2K Boston,2022-11-22 23:00:55.830034
Simcity,62€,-90%,5.92€,EA - MaxisAspyr (Mac),2022-11-22 23:00:57.190224
Battle Chasers: Nightwar,30€,-90%,2.99€,Airship Syndicate,2022-11-22 23:00:59.177443
WRC 6: World Rally Championship,15€,-90%,1.48€,KT Racing,2022-11-22 23:01:00.331994
Pillars of Eternity II: Deadfire - Europe,40€,-90%,3.99€,Obsidian Entertainment,2022-11-22 23:01:01.568161
Space Run Galaxy,10€,-90%,1.00€,Passtech Games,2022-11-22 23:01:02.822526
DMC Devil May Cry - Europe,30€,-90%,2.99€,Ninja Theory,2022-11-22 23:01:03.899590
Borderlands 2 - Europe,30€,-90%,2.95€,Gearbox SoftwareAspyr (Mac)Aspyr (Linux),2022-11-22 23:01:05.680835
Men of War: Assault Squad 2,25€,-90%,2.38€,Digitalmindsoft,2022-11-22 23:01:06.870590
The Walking Dead: Michonne - A Telltale Miniseries,15€,-90%,1.49€,Telltale Games,2022-11-22 23:01:08.089588
Tempest: Pirate Action RPG,12€,-90%,1.20€,Lion's Shade,2022-11-22 23:01:09.723703
Anomaly: Warzone Earth,10€,-90%,1.00€,11 bit studios,2022-11-22 23:01:11.029299
LEGO Star Wars: The Force Awakens,30€,-90%,2.86€,Traveller's TalesTT GamesFeral Interactive (Mac),2022-11-22 23:01:12.163975
Command & Conquer: Remastered Collection,20€,-90%,1.90€,PetroglyphLemon Sky Studios,2022-11-22 23:01:13.262393
Magicka,10€,-90%,1.00€,Arrowhead Game Studios,2022-11-22 23:01:14.634496
Two Worlds Epic Edition, 10€,-90%,1.00€,Reality Pump Studios,2022-11-22 23:01:16.215497
Conduct DELUXE!,10€,-90%,1.00€,Northplay,2022-11-22 23:01:20.157148
Los Sims 3: Diesel Accesorios,20€,-90%,1.99€,The Sims Studio,2022-11-22 23:01:23.838827
Worms Crazy Golf,10€,-90%,1.00€,Team17 Digital Ltd,2022-11-22 23:01:27.439481
Ragnarok Online: Starter Pack,10€,-90%,1.00€,Whybe Online,2022-11-22 23:01:30.814661
Hitman: Absolution,20€,-90%,1.99€,Io-Interactive A/S,2022-11-22 23:01:34.463515
Teleglitch: Die More Edition,13€,-90%,1.36€,Test3 Projects,2022-11-22 23:01:38.172655
Drawful 2,10€,-90%,1.00€,"Jackbox Games, Inc.",2022-11-22 23:01:39.887956
Batman: Arkham City GOTY,20€,-90%,1.99€,Rocksteady Studios,2022-11-22 23:01:44.067656
Train Valley,10€,-90%,1.00€,Alexey DavydovSergey DvoynikovTimofey Shargorodskiy,2022-11-22 23:01:45.494294
Swag and Sorcery,10€,-90%,1.00€,Lazy Bear GamesUroboros Games,2022-11-22 23:01:47.049249
The King's Bird,17€,-90%,1.74€,Serenity Forge,2022-11-22 23:01:48.313519
Dead in Bermuda,15€,-90%,1.55€,Ishtar Games,2022-11-22 23:01:49.505231
Rise of Industry: 2130,10€,-90%,1.00€,Dapper Penguin Studios,2022-11-22 23:01:50.912198
Wildfire,15€,-90%,1.56€,Sneaky Bastards,2022-11-22 23:01:52.250024
Ogre,23€,-90%,2.40€,Auroch Digital,2022-11-22 23:01:53.648825
Path to Mnemosyne,10€,-90%,1.00€,DevilishGames,2022-11-22 23:01:54.987978
Stellaris,40€,-89%,4.40€,Paradox Development Studio,2022-11-22 23:01:56.585712
Kholat, 18€,-89%,1.99€,IMGN.PRO,2022-11-22 23:01:57.974918
Kerbal Space Program,40€,-89%,4.32€,Squad,2022-11-22 23:01:59.260739
Pumped BMX +,10€,-89%,1.10€,Yeah Us!,2022-11-22 23:02:00.819894
Don't Escape: 4 Days to Survive,15€,-89%,1.61€,scriptwelder,2022-11-22 23:02:02.367691
Paw Paw Paw,9€,-89%,1.00€,Simpleton,2022-11-22 23:02:03.800978
Sid Meier's Civilization VI Anthology,210€,-89%,22.19€,Firaxis Games,2022-11-22 23:02:05.077641
Necromunda: Hired Gun,40€,-89%,4.29€,Streum On Studio,2022-11-22 23:02:06.480363
Surviving Mars: Space Race Plus,20€,-89%,2.18€,Haemimont Games,2022-11-22 23:02:07.761521
Binary Domain Collection,16€,-89%,1.74€,Devil's Details,2022-11-22 23:02:09.122423
Yu-Gi-Oh! Legacy of the Duelist,20€,-89%,2.12€,Other Ocean Interactive,2022-11-22 23:02:10.468408
